Roll,Math,Physics,Chemistry,Computer Science
1,98,27,77,75
2,76,78,39,37
3,61,44,44,53
4,22,89,33,38
5,74,67,78,26
6,94,72,55,45
7,43,71,30,24
8,59,73,41,69
9,80,45,32,21
10,62,92,40,27
11,29,48,51,94
12,30,96,24,39
13,30,80,31,68
14,88,32,70,62
15,22,71,71,24
16,55,89,47,93
17,31,23,45,26
18,33,67,25,56
19,86,71,36,89
20,76,68,31,24
21,30,95,39,87
22,31,51,89,48
23,94,95,68,81
24,31,52,62,22
25,100,27,86,53
26,68,22,27,66
27,24,56,81,37
28,46,97,69,72
29,21,28,20,80
30,68,29,62,41
31,85,55,93,71
32,86,51,40,24
33,31,51,25,86
34,42,68,41,60
35,66,36,64,84
36,61,24,57,97
37,21,22,57,63
38,91,88,57,71
39,100,73,71,77
40,82,97,39,35
41,34,81,57,50
42,20,53,60,54
43,58,69,81,35
44,29,39,87,100
45,39,36,53,79
46,26,49,83,38
47,75,93,54,47
48,84,39,77,65
49,99,49,96,38
50,65,68,75,47
51,47,72,41,64
52,75,35,74,47
53,22,21,64,71
54,85,58,62,23
55,26,41,91,49
56,25,21,96,94
57,62,97,52,99
58,70,70,84,37
59,38,43,56,69
60,30,47,51,42
61,52,80,65,99
62,86,96,81,43
63,72,52,36,42
64,63,23,30,94
65,50,24,87,21
66,42,40,71,58
67,24,23,93,21
68,73,39,51,28
69,36,62,70,70
70,29,40,24,93
71,86,44,33,48
72,34,93,31,62
73,64,28,44,96
74,38,94,87,90
75,44,81,92,45
76,46,21,63,85
77,65,61,34,59
78,58,92,88,20
79,79,93,43,44
80,68,76,37,33
81,77,35,48,62
82,24,69,85,43
83,87,31,75,48
84,29,45,65,51
85,60,50,48,62
86,54,78,38,31
87,46,82,68,43
88,28,38,92,70
89,21,34,94,69
90,42,99,48,84
91,60,68,29,28
92,36,33,84,27
93,100,89,53,29
94,22,34,63,98
95,66,85,75,40
96,25,29,89,82
97,31,98,50,47
98,49,74,81,96
99,81,77,44,93
100,78,76,28,85
